Race and Ethnicity 2
ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
5,Some Other Race Alone,0,Not Hispanic or Latino,2019,2019,266,"Temecula, CA",16000US0678120,temecula-ca,371,0.0032721531826320100
5,Some Other Race Alone,1,Hispanic or Latino,2019,2019,1546,"Temecula, CA",16000US0678120,temecula-ca,10871,0.09588026212504740
6,Two or More Races,0,Not Hispanic or Latino,2019,2019,780.8008709011540,"Temecula, CA",16000US0678120,temecula-ca,4807,0.04239687425582770
6,Two or More Races,1,Hispanic or Latino,2019,2019,720.7253290956270,"Temecula, CA",16000US0678120,temecula-ca,3313,0.02922006332630690
0,White Alone,0,Not Hispanic or Latino,2018,2018,1624,"Temecula, CA",16000US0678120,temecula-ca,59140,0.5269535774748290
0,White Alone,1,Hispanic or Latino,2018,2018,1514,"Temecula, CA",16000US0678120,temecula-ca,18549,0.1652766639935850
1,Black or African American Alone,0,Not Hispanic or Latino,2018,2018,820,"Temecula, CA",16000US0678120,temecula-ca,4995,0.04450681635926220
1,Black or African American Alone,1,Hispanic or Latino,2018,2018,385,"Temecula, CA",16000US0678120,temecula-ca,680,0.006058986010870530
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2018,2018,298,"Temecula, CA",16000US0678120,temecula-ca,434,0.0038670587187026600
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2018,2018,107.00000000000000,"Temecula, CA",16000US0678120,temecula-ca,205,0.001826606076806560
3,Asian Alone,0,Not Hispanic or Latino,2018,2018,1033,"Temecula, CA",16000US0678120,temecula-ca,9348,0.08329323710237900
3,Asian Alone,1,Hispanic or Latino,2018,2018,155,"Temecula, CA",16000US0678120,temecula-ca,308,0.002744364251982540
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2018,2018,368,"Temecula, CA",16000US0678120,temecula-ca,526,0.004686803884879270
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2018,2018,117.00000000000000,"Temecula, CA",16000US0678120,temecula-ca,98,0.0008732068074489890
5,Some Other Race Alone,0,Not Hispanic or Latino,2018,2018,155,"Temecula, CA",16000US0678120,temecula-ca,230,0.002049362915441500
5,Some Other Race Alone,1,Hispanic or Latino,2018,2018,1383,"Temecula, CA",16000US0678120,temecula-ca,10210,0.09097389289851200
6,Two or More Races,0,Not Hispanic or Latino,2018,2018,768.7522357691070,"Temecula, CA",16000US0678120,temecula-ca,4363,0.03887552347857080
6,Two or More Races,1,Hispanic or Latino,2018,2018,674.0934653295490,"Temecula, CA",16000US0678120,temecula-ca,3144,0.02801390002673080
0,White Alone,0,Not Hispanic or Latino,2017,2017,1675,"Temecula, CA",16000US0678120,temecula-ca,59324,0.5357923447914600
0,White Alone,1,Hispanic or Latino,2017,2017,1555,"Temecula, CA",16000US0678120,temecula-ca,17285,0.1561117031845520
1,Black or African American Alone,0,Not Hispanic or Latino,2017,2017,935,"Temecula, CA",16000US0678120,temecula-ca,5221,0.04715413377648530
1,Black or African American Alone,1,Hispanic or Latino,2017,2017,271,"Temecula, CA",16000US0678120,temecula-ca,436,0.003937790141074040
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2017,2017,300,"Temecula, CA",16000US0678120,temecula-ca,442,0.003991979913657630
